BANK,IFSC,BRANCH,CENTRE,DISTRICT,STATE,ADDRESS,CONTACT,IMPS,RTGS,CITY,ISO3166,NEFT,MICR,UPI,SWIFT
Abhyudaya Co-operative Bank,ABHY0065001,Abhyudaya Co-operative Bank IMPS,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",+912225260172,true,true,MUMBAI,IN-MH,true,400065001,true,
Abhyudaya Co-operative Bank,ABHY0065002,ABHYUDAYA NAGAR,GREATER MUMBAI,GREATER MUMBAI,MAHARASHTRA,"ABHYUDAYA EDUCATION SOCIETY, OPP. BLDG. NO. 18, ABHYUDAYA NAGAR, KALACHOWKY, MUMBAI - 400033",+912224702643,true,true,MUMBAI,IN-MH,true,400065002,true,
Abhyudaya Co-operative Bank,ABHY0065003,BAIL BAZAR,GREATER MUMBAI,GREATER MUMBAI,MAHARASHTRA,"KMSPM'S SCHOOL, WADIA ESTATE, BAIL BAZAR-KURLA(W), MUMBAI-400070",+912225032202,true,true,MUMBAI,IN-MH,true,400065003,true,
Abhyudaya Co-operative Bank,ABHY0065004,BHANDUP,GREATER MUMBAI,GREATER MUMBAI,MAHARASHTRA,"CHETNA APARTMENTS, J.M.ROAD, BHANDUP, MUMBAI-400078",+912225963157,true,true,MUMBAI,IN-MH,true,400065004,true,
Abhyudaya Co-operative Bank,ABHY0065005,DARUKHANA,GREATER MUMBAI,GREATER MUMBAI,MAHARASHTRA,"POTIA IND.ESTATE, REAY ROAD (E), DARUKHANA, MUMBAI-400010",+912223778164,true,true,MUMBAI,IN-MH,true,400065005,true,
Abhyudaya Co-operative Bank,ABHY0065006,FORT,GREATER MUMBAI,GREATER MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., 251, PERIN NARIMAN STREET, FORT, MUMBAI-400001",+912222614468,true,true,MUMBAI,IN-MH,true,400065006,true,
Abhyudaya Co-operative Bank,ABHY0065007,GHATKOPAR,GREATER MUMBAI,GREATER MUMBAI,MAHARASHTRA,"UNIT NO 2 & 3, SILVER HARMONY BLDG,NEW MANIKLAL ESTATE, GHATKOPAR (WEST), MUMBAI-400086",+912225116673,true,true,MUMBAI,IN-MH,true,400065007,true,
Abhyudaya Co-operative Bank,ABHY0065008,KANJUR,MUMBAI,MUMBAI,MAHARASHTRA,"N.G. ROYAL PARK, KANJUR MARG (E),MUMBAI- 400 078.",+918928523902,true,true,GREATER MUMBAI,IN-MH,true,400065008,true,
Abhyudaya Co-operative Bank,ABHY0065008,KANJUR,MUMBAI,MUMBAI,MAHARASHTRA,"N.G. ROYAL PARK, KANJUR MARG (E),MUMBAI- 400 078.",+918928523902,true,true,GREATER MUMBAI,IN-MH,true,400065008,true,
Abhyudaya Co-operative Bank,ABHY0065008,KANJUR,MUMBAI,MUMBAI,MAHARASHTRA,"N.G. ROYAL PARK, KANJUR MARG (E),MUMBAI- 400 078.",+918928523902,true,true,GREATER MUMBAI,IN-MH,true,400065008,true,
Abhyudaya Co-operative Bank,ABHY0065008,KANJUR,MUMBAI,MUMBAI,MAHARASHTRA,"N.G. ROYAL PARK, KANJUR MARG (E),MUMBAI- 400 078.",+918928523902,true,true,GREATER MUMBAI,IN-MH,true,400065008,true,
